Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010003.logjez,03018,0001,1015,0003,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,33FFB394
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010004.logjez,03018,0001,1015,0004,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,87CE21B5
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010005.logjez,03018,0001,1015,0005,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,1BFFBDE4
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010006.logjez,03018,0001,1015,0006,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B3935711
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010007.logjez,03018,0001,1481,0007,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B692ED5A
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010020.logjez,03018,0001,1112,0020,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,5D54F5C8
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010022.logjez,03018,0001,1163,0022,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2475908E
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010023.logjez,03018,0001,1171,0023,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,978CDC43
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010024.logjez,03018,0001,2259,0024,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,323A39CB
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010025.logjez,03018,0001,2259,0025,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,109495A1
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010026.logjez,03018,0001,1171,0026,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,556E64A0
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010027.logjez,03018,0001,2259,0027,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,4B561558
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010028.logjez,03018,0001,1210,0028,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,9545533C
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010029.logjez,03018,0001,1210,0029,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,C2DDD1FF
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010030.logjez,03018,0001,1210,0030,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,9875918E
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010031.logjez,03018,0001,1210,0031,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B33C2075
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010032.logjez,03018,0001,2887,0032,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,4F9BABAC
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010035.logjez,03018,0001,3123,0035,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,29D7DE71
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010037.logjez,03018,0001,3123,0037,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,16967BAC
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010038.logjez,03018,0001,2682,0038,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,6A14FD55
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010039.logjez,03018,0001,1279,0039,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,FA397A30
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010040.logjez,03018,0001,1279,0040,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,00E1A598
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010041.logjez,03018,0001,1279,0041,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,82DAB21F
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010042.logjez,03018,0001,3247,0042,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,22BB3797
