estado,municipio,zona,secao,candidato_13,candidato_22
rr,3000,4,11,36,139
rr,3000,4,12,34,139
rr,3000,4,13,27,139
rr,3000,4,14,51,189
rr,3000,4,15,45,189
rr,3000,4,16,35,159
rr,3000,4,17,38,189
rr,3000,4,18,28,195
rr,3000,4,19,33,160
rr,3000,4,20,41,157
rr,3000,4,53,27,146
rr,3000,4,63,127,22
rr,3000,4,64,39,135
rr,3000,4,65,52,138
rr,3000,4,74,27,186
rr,3000,4,75,31,202
rr,3000,4,84,54,258
rr,3000,4,89,30,153
rr,3000,4,92,35,139
rr,3000,4,99,32,128
rr,3000,4,104,23,205
rr,3000,4,107,33,140
rr,3000,4,123,34,190
rr,3000,4,125,27,132
rr,3000,4,126,33,129
rr,3000,4,131,47,177
rr,3018,1,1,51,184
rr,3018,1,2,44,199
rr,3018,1,3,46,197
rr,3018,1,4,60,189
rr,3018,1,5,56,180
rr,3018,1,6,50,190
rr,3018,1,7,48,159
rr,3018,1,20,34,132
rr,3018,1,22,49,177
rr,3018,1,23,67,202
rr,3018,1,24,47,126
rr,3018,1,25,43,125
rr,3018,1,26,49,222
rr,3018,1,27,31,144
rr,3018,1,28,40,196
rr,3018,1,29,45,186
rr,3018,1,30,38,179
rr,3018,1,31,45,172
rr,3018,1,32,44,251
rr,3018,1,35,67,235
rr,3018,1,37,61,219
rr,3018,1,38,56,195
rr,3018,1,39,65,203
rr,3018,1,40,58,193
rr,3018,1,41,52,211
rr,3018,1,42,67,249
rr,3018,1,43,58,205
rr,3018,1,44,65,193
rr,3018,1,45,59,194
rr,3018,1,46,40,147
rr,3018,1,47,39,157
rr,3018,1,48,55,176
rr,3018,1,49,54,178
rr,3018,1,50,48,162
rr,3018,1,52,62,181
rr,3018,1,53,47,172
rr,3018,1,54,56,173
rr,3018,1,55,54,174
rr,3018,1,56,53,250
rr,3018,1,58,50,216
rr,3018,1,59,44,204
rr,3018,1,60,37,165
rr,3018,1,63,60,232
rr,3018,1,64,59,218
rr,3018,1,65,50,227
rr,3018,1,67,45,229
rr,3018,1,68,44,175
rr,3018,1,69,51,239
rr,3018,1,70,50,145
rr,3018,1,71,48,154
rr,3018,1,72,41,146
rr,3018,1,73,41,164
rr,3018,1,74,69,164
rr,3018,1,75,80,198
rr,3018,1,76,55,217
rr,3018,1,77,65,180
rr,3018,1,78,46,167
rr,3018,1,79,31,109
rr,3018,1,80,50,115
rr,3018,1,81,54,146
rr,3018,1,82,65,239
rr,3018,1,85,64,173
rr,3018,1,87,43,134
rr,3018,1,88,64,211
rr,3018,1,90,81,201
rr,3018,1,91,73,158
rr,3018,1,92,51,138
rr,3018,1,93,47,157
rr,3018,1,96,53,177
rr,3018,1,98,60,173
rr,3018,1,100,37,137
rr,3018,1,101,57,140
rr,3018,1,104,48,138
rr,3018,1,105,43,150
rr,3018,1,106,53,176
rr,3018,1,117,66,209
rr,3018,1,118,64,164
rr,3018,1,156,67,245
rr,3018,1,167,59,165
rr,3018,1,169,29,155
rr,3018,1,170,52,200
rr,3018,1,171,42,194
rr,3018,1,176,25,140
rr,3018,1,177,32,141
rr,3018,1,179,48,193
rr,3018,1,180,52,215
rr,3018,1,181,67,214
rr,3018,1,183,66,185
rr,3018,1,185,37,230
rr,3018,1,186,63,166
rr,3018,1,187,32,166
rr,3018,1,189,44,151
rr,3018,1,200,47,204
rr,3018,1,201,38,160
rr,3018,1,202,75,227
rr,3018,1,203,48,186
rr,3018,1,204,39,154
rr,3018,1,205,50,119
rr,3018,1,206,61,170
rr,3018,1,208,61,170
rr,3018,1,209,53,155
rr,3018,1,210,56,162
rr,3018,1,211,35,139
rr,3018,1,212,46,128
rr,3018,1,221,58,209
rr,3018,1,222,56,171
rr,3018,1,223,55,178
rr,3018,1,226,69,201
rr,3018,1,229,42,228
rr,3018,1,231,46,185
rr,3018,1,233,66,198
rr,3018,1,234,67,167
rr,3018,1,237,53,218
rr,3018,1,239,40,187
rr,3018,1,241,44,179
rr,3018,1,242,41,161
rr,3018,1,252,68,206
rr,3018,1,259,60,206
rr,3018,1,262,53,169
rr,3018,1,266,77,193
rr,3018,1,268,48,179
rr,3018,1,276,59,185
rr,3018,1,287,46,222
rr,3018,1,288,34,113
rr,3018,1,289,50,212
rr,3018,1,290,59,169
rr,3018,1,295,49,109
rr,3018,1,307,48,254
rr,3018,1,309,58,218
rr,3018,1,315,57,190
rr,3018,1,316,58,173
rr,3018,1,317,53,170
rr,3018,1,327,99,193
rr,3018,1,328,48,146
rr,3018,1,333,31,190
rr,3018,1,334,54,204
rr,3018,1,340,51,165
rr,3018,1,341,54,136
rr,3018,1,345,59,158
rr,3018,1,355,98,186
rr,3018,1,361,40,244
rr,3018,1,362,51,196
rr,3018,1,363,29,144
rr,3018,1,367,50,194
rr,3018,1,377,64,218
rr,3018,1,378,44,177
rr,3018,1,379,63,157
rr,3018,1,381,54,169
rr,3018,1,382,49,178
rr,3018,1,383,57,174
rr,3018,1,389,47,171
rr,3018,1,407,51,228
rr,3018,1,409,46,214
rr,3018,1,410,42,199
rr,3018,1,416,61,172
rr,3018,1,418,51,209
rr,3018,1,421,42,211
rr,3018,1,429,59,206
rr,3018,1,458,51,204
rr,3018,1,460,62,163
rr,3018,1,466,50,212
rr,3018,1,467,59,171
rr,3018,1,472,56,160
rr,3018,1,475,51,186
rr,3018,1,476,47,186
rr,3018,1,477,47,201
rr,3018,1,486,39,159
rr,3018,1,487,62,226
rr,3018,1,489,57,199
rr,3018,1,497,71,239
rr,3018,1,502,45,129
rr,3018,1,505,66,193
rr,3018,1,512,70,193
rr,3018,1,513,65,197
rr,3018,1,514,54,191
rr,3018,1,517,86,194
rr,3018,1,518,38,211
rr,3018,1,519,43,211
rr,3018,1,520,42,183
rr,3018,1,522,46,201
rr,3018,1,524,79,232
rr,3018,1,525,46,210
rr,3018,1,528,55,198
rr,3018,1,529,20,114
rr,3018,1,531,62,185
rr,3018,1,532,61,185
rr,3018,1,533,65,213
rr,3018,1,534,36,145
rr,3018,1,535,74,167
rr,3018,1,536,77,180
rr,3018,1,537,56,221
rr,3018,1,538,83,219
rr,3018,1,540,92,175
rr,3018,1,546,61,195
rr,3018,1,547,67,245
rr,3018,1,548,44,189
rr,3018,1,550,56,192
rr,3018,1,551,61,223
rr,3018,1,552,47,217
rr,3018,1,553,56,212
rr,3018,1,554,80,208
rr,3018,1,555,71,241
rr,3018,1,556,75,205
rr,3018,1,557,75,190
rr,3018,1,558,59,192
rr,3018,1,559,59,198
rr,3018,1,560,61,227
rr,3018,1,563,88,165
rr,3018,1,564,64,168
rr,3018,1,567,50,122
rr,3018,1,571,65,210
rr,3018,1,572,48,221
rr,3018,1,573,56,210
rr,3018,1,574,66,209
rr,3018,1,575,62,190
rr,3018,1,576,58,205
rr,3018,1,577,55,218
rr,3018,1,578,55,221
rr,3018,1,579,52,204
rr,3018,1,580,53,199
rr,3018,1,581,50,236
rr,3018,1,582,52,204
rr,3018,1,583,47,219
rr,3018,1,584,51,207
rr,3018,1,585,56,210
rr,3018,1,586,50,220
rr,3018,1,587,54,220
rr,3018,1,588,54,203
rr,3018,1,589,51,203
rr,3018,1,590,61,187
rr,3018,1,591,34,144
rr,3018,1,592,36,140
rr,3018,1,593,39,136
rr,3018,1,594,42,134
rr,3018,1,595,47,120
rr,3018,1,596,38,138
rr,3018,1,597,38,141
rr,3018,1,598,40,141
rr,3018,1,599,28,150
